 ,Area,Mean,Min,Max
771,0.002,255,255,255
772,0.001,255,255,255
773,0.001,255,255,255
774,0.002,255,255,255
775,0.001,255,255,255
776,0.002,255,255,255
777,0.002,255,255,255
778,0.002,255,255,255
779,0.002,255,255,255
780,0.001,255,255,255
781,0.001,255,255,255
782,0.001,255,255,255
783,0.001,255,255,255
784,0.002,255,255,255
785,0.001,255,255,255
786,0.001,255,255,255
787,0.002,255,255,255
788,0.001,255,255,255
789,0.002,255,255,255
790,0.002,255,255,255
791,0.002,255,255,255
792,0.002,255,255,255
793,0.002,255,255,255
794,0.002,255,255,255
795,0.002,255,255,255
796,0.002,255,255,255
797,0.004,255,255,255
798,0.003,255,255,255
799,0.001,255,255,255
800,0.003,255,255,255
801,0.002,255,255,255
802,0.003,255,255,255
803,0.002,255,255,255
804,0.001,255,255,255
805,0.002,255,255,255
806,0.002,255,255,255
807,0.002,255,255,255
808,0.001,255,255,255
809,0.003,255,255,255
810,0.002,255,255,255
811,0.002,255,255,255
812,0.002,255,255,255
813,0.002,255,255,255
814,0.002,255,255,255
815,0.002,255,255,255
816,0.002,255,255,255
817,0.002,255,255,255
818,0.002,255,255,255
819,0.002,255,255,255
820,0.001,255,255,255
821,0.001,255,255,255
822,0.002,255,255,255
823,0.002,255,255,255
824,0.002,255,255,255
825,0.002,255,255,255
826,0.002,255,255,255
827,0.001,255,255,255
828,0.001,255,255,255
829,0.001,255,255,255
830,0.001,255,255,255
831,0.001,255,255,255
832,0.001,255,255,255
833,0.004,255,255,255
834,0.002,255,255,255
835,0.001,255,255,255
836,0.002,255,255,255
837,0.002,255,255,255
838,0.002,255,255,255
839,0.002,255,255,255
840,0.002,255,255,255
841,0.002,255,255,255
842,0.002,255,255,255
843,0.002,255,255,255
844,0.004,255,255,255
845,0.003,255,255,255
846,0.002,255,255,255
847,0.002,255,255,255
848,0.003,255,255,255
849,0.002,255,255,255
850,0.001,255,255,255
851,0.002,255,255,255
852,0.002,255,255,255
853,0.003,255,255,255
854,0.001,255,255,255
855,0.003,255,255,255
856,0.002,255,255,255
857,0.002,255,255,255
858,0.002,255,255,255
859,0.002,255,255,255
860,0.002,255,255,255
861,0.003,255,255,255
862,0.002,255,255,255
863,0.002,255,255,255
864,0.002,255,255,255
